Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Hudson Hawk/script.txt,Hudson Hawk,155,183,130,117,7,113,20,91,6,90,97,80
./scriptbase titles/The Girl with the Dragon Tattoo (2011 film)/script.txt,The Girl with the Dragon Tattoo (2011 film),481,559,136,279,67,311,113,67,27,193,240,55
./scriptbase titles/Lost in Space (film)/script.txt,Lost in Space (film),68,200,196,37,7,131,19,130,14,21,108,90
./scriptbase titles/Moonstruck/script.txt,Moonstruck,393,320,177,207,36,170,56,112,21,169,134,86
./scriptbase titles/Casino (film)/script.txt,Casino (film),230,521,1184,107,24,278,80,519,507,102,266,563
./scriptbase titles/The Postman (film)/script.txt,The Postman (film),93,509,253,48,8,270,85,142,38,33,202,104
./scriptbase titles/Escape from the Planet of the Apes/script.txt,Escape from the Planet of the Apes,25,26,32,13,2,14,1,16,5,12,13,18
./scriptbase titles/Shifty (film)/script.txt,Shifty (film),103,294,150,59,15,151,37,79,27,48,118,64
./scriptbase titles/Wonder Boys (film)/script.txt,Wonder Boys (film),126,358,66,78,19,178,67,27,11,55,122,24
./scriptbase titles/Sweet Smell of Success/script.txt,Sweet Smell of Success,311,762,115,163,41,455,96,64,10,112,339,50
./scriptbase titles/Clue (film)/script.txt,Clue (film),110,177,262,66,7,119,17,122,69,56,82,125
./scriptbase titles/Army of Darkness/script.txt,Army of Darkness,33,202,100,19,2,137,18,71,11,16,91,47
./scriptbase titles/Amadeus (film)/script.txt,Amadeus (film),144,528,663,77,21,316,69,350,199,50,245,281
./scriptbase titles/Martha Marcy May Marlene/script.txt,Martha Marcy May Marlene,485,153,102,294,68,85,22,69,12,247,69,48
./scriptbase titles/Up (2009 film)/script.txt,Up (2009 film),89,335,330,58,8,188,34,212,30,38,144,160
./scriptbase titles/My Best Friends Wedding/script.txt,My Best Friends Wedding,600,337,574,323,100,174,59,306,177,238,120,244
./scriptbase titles/Light Sleeper/script.txt,Light Sleeper,119,155,53,62,20,84,24,37,6,46,74,23
./scriptbase titles/The Truman Show/script.txt,The Truman Show,51,420,77,25,3,243,68,44,10,21,193,36
./scriptbase titles/Jurassic Park (film)/script.txt,Jurassic Park (film),138,450,265,83,19,264,51,147,51,50,196,110
./scriptbase titles/Sugar & Spice/script.txt,Sugar & Spice,223,61,145,139,22,43,4,94,19,108,26,74
./scriptbase titles/Fracture (2007 film)/script.txt,Fracture (2007 film),114,492,554,47,17,270,65,285,144,30,229,229
./scriptbase titles/I Still Know What You Did Last Summer/script.txt,I Still Know What You Did Last Summer,292,227,247,169,40,145,14,148,37,117,112,96
./scriptbase titles/The Mask (film)/script.txt,The Mask (film),134,463,120,84,13,324,33,82,11,62,228,61
./scriptbase titles/Happy Campers (2001 film)/script.txt,Happy Campers (2001 film),265,274,488,157,30,184,31,246,166,125,150,206
./scriptbase titles/Star Wars (film)/script.txt,Star Wars (film),62,284,175,43,5,165,41,106,16,30,113,89
./scriptbase titles/Love & Basketball/script.txt,Love & Basketball,554,398,92,343,84,245,55,56,15,221,185,42
./scriptbase titles/Raiders of the Lost Ark/script.txt,Raiders of the Lost Ark,89,346,195,43,10,213,44,119,24,34,164,91
./scriptbase titles/The Mummy (1999 film)/script.txt,The Mummy (1999 film),86,375,253,41,13,195,43,143,34,30,150,116
./scriptbase titles/American Beauty (film)/script.txt,American Beauty (film),260,268,68,135,46,147,36,40,5,111,122,27
./scriptbase titles/Killing Zoe/script.txt,Killing Zoe,84,455,314,46,8,269,63,230,32,32,212,160
./scriptbase titles/Anastasia (1997 film)/script.txt,Anastasia (1997 film),372,262,63,171,56,155,30,34,8,140,129,26
./scriptbase titles/The Limey/script.txt,The Limey,159,361,243,78,31,174,52,130,29,58,149,95
./scriptbase titles/Lost in Translation (film)/script.txt,Lost in Translation (film),315,229,199,153,39,118,33,102,34,124,110,92
./scriptbase titles/New York Minute (film)/script.txt,New York Minute (film),143,234,168,77,18,136,30,94,23,71,105,72
./scriptbase titles/Batman & Robin (film)/script.txt,Batman & Robin (film),122,145,81,85,12,94,11,54,5,62,68,29
./scriptbase titles/Return to Me/script.txt,Return to Me,170,214,391,105,13,118,25,224,46,87,96,180
./scriptbase titles/Halloween (1978 film)/script.txt,Halloween (1978 film),169,131,171,108,22,76,12,116,18,82,54,90
./scriptbase titles/Conspiracy Theory (film)/script.txt,Conspiracy Theory (film),365,418,395,219,46,202,58,240,43,155,175,179
./scriptbase titles/Midnight Cowboy/script.txt,Midnight Cowboy,61,195,513,39,6,103,39,319,100,21,74,235
./scriptbase titles/The Tourist (2010 film)/script.txt,The Tourist (2010 film),260,416,247,152,40,195,69,128,41,118,180,89
./scriptbase titles/Somethings Gotta Give (film)/script.txt,Somethings Gotta Give (film),343,336,685,196,47,181,55,335,214,138,150,306
./scriptbase titles/Signs (film)/script.txt,Signs (film),62,480,326,24,11,295,68,171,55,19,243,140
./scriptbase titles/Cat People (1982 film)/script.txt,Cat People (1982 film),514,302,391,284,63,184,32,187,106,212,118,166
./scriptbase titles/The Green Mile (film)/script.txt,The Green Mile (film),104,556,548,52,14,322,72,342,73,45,254,249
./scriptbase titles/Bonnie and Clyde (film)/script.txt,Bonnie and Clyde (film),184,297,173,103,21,169,39,117,25,67,138,87
./scriptbase titles/Psycho (1960 film)/script.txt,Psycho (1960 film),493,483,144,231,87,264,86,75,28,209,192,47
./scriptbase titles/Scream 2/script.txt,Scream 2,452,333,226,259,52,197,28,149,21,208,146,121
./scriptbase titles/Confessions of a Dangerous Mind/script.txt,Confessions of a Dangerous Mind,105,394,481,55,19,214,64,224,165,50,161,212
./scriptbase titles/The Men Who Stare at Goats (film)/script.txt,The Men Who Stare at Goats (film),25,303,446,10,2,161,46,252,77,9,128,194
./scriptbase titles/Honeydripper (film)/script.txt,Honeydripper (film),169,207,228,110,18,129,29,146,32,97,106,112
./scriptbase titles/Moon (film)/script.txt,Moon (film),121,230,570,64,23,138,31,294,144,53,109,236
./scriptbase titles/Theres Something About Mary/script.txt,Theres Something About Mary,191,274,622,87,29,131,38,319,182,80,116,246
./scriptbase titles/Twins (1988 film)/script.txt,Twins (1988 film),129,533,451,77,21,330,52,218,129,65,282,174
./scriptbase titles/Analyze That/script.txt,Analyze That,37,194,167,21,3,87,28,90,31,14,72,82
./scriptbase titles/The Cincinnati Kid/script.txt,The Cincinnati Kid,164,377,153,84,20,205,59,83,18,71,176,63
./scriptbase titles/Escape from L.A./script.txt,Escape from L.A.,57,213,123,28,6,133,22,85,8,23,100,64
./scriptbase titles/Oceans Eleven/script.txt,Oceans Eleven,98,546,366,47,8,313,78,216,48,32,259,167
./scriptbase titles/In the Loop (film)/script.txt,In the Loop (film),126,238,302,61,26,130,31,154,40,59,112,115
./scriptbase titles/Collateral (film)/script.txt,Collateral (film),80,453,268,33,12,264,80,142,44,29,210,127
./scriptbase titles/Nightbreed/script.txt,Nightbreed,366,405,129,198,49,244,47,70,18,143,181,55
./scriptbase titles/Gangs of New York/script.txt,Gangs of New York,157,391,199,94,16,224,40,118,34,79,203,99
./scriptbase titles/The Bourne Ultimatum (film)/script.txt,The Bourne Ultimatum (film),51,196,70,28,6,104,25,45,8,26,87,33
./scriptbase titles/Broken Embraces/script.txt,Broken Embraces,497,976,436,254,69,478,176,224,62,216,396,168
./scriptbase titles/17 Again (film)/script.txt,17 Again (film),159,391,166,97,12,263,36,105,18,75,188,75
./scriptbase titles/Cobb (film)/script.txt,Cobb (film),88,469,464,41,8,274,79,227,162,38,217,206
./scriptbase titles/The Thing (1982 film)/script.txt,The Thing (1982 film),2,423,139,1,0,272,49,92,15,1,210,75
./scriptbase titles/The Informant!/script.txt,The Informant!,55,441,350,33,8,270,75,201,67,31,199,177
./scriptbase titles/House on Haunted Hill (1999 film)/script.txt,House on Haunted Hill (1999 film),146,148,100,84,22,84,23,61,23,60,64,52
./scriptbase titles/Rush Hour 2/script.txt,Rush Hour 2,103,317,321,70,7,187,40,216,35,59,154,168
./scriptbase titles/Double Indemnity (film)/script.txt,Double Indemnity (film),309,564,124,188,43,346,65,56,23,152,296,65
./scriptbase titles/Dark Star (film)/script.txt,Dark Star (film),0,42,16,0,0,27,7,8,6,0,20,3
./scriptbase titles/Batman Returns/script.txt,Batman Returns,99,198,103,72,9,119,33,73,8,52,94,55
./scriptbase titles/Bean (film)/script.txt,Bean (film),99,469,288,40,11,309,60,154,74,38,244,117
./scriptbase titles/Remember Me (2010 film)/script.txt,Remember Me (2010 film),382,476,173,197,55,298,50,94,24,158,221,59
./scriptbase titles/Blue Velvet (film)/script.txt,Blue Velvet (film),254,678,280,123,42,331,119,162,31,108,295,146
